CONSOLE,YEAR,CATEGORY,PUBLISHER,RATING,CRITICS_POINTS,USER_POINTS,SalesInMillions
ds,2008,role-playing,Nintendo,E,2.833333333333333,0.3037037037037037,1.7792573645377137
wii,2012,simulation,Konami Digital Entertainment,E10+,13.2,1.64,0.2150495699695946
pc,2019,shooter,Activision,M,4.5625,0.0064102564102564,0.5344016462886677
ps2,2002,sports,Electronic Arts,E,4.181818181818182,0.3269230769230769,1.3839642351062431
ps3,2013,action,Activision,M,2.259259259259259,0.0325791855203619,0.0826705346031996
ps2,2004,platform,Sony Computer Entertainment,E,2.571428571428572,0.0277070063694267,4.491289146341048
psp,2008,strategy,Idea Factory,T,17.5,0.4647058823529412,0.7913054538456433
ps3,2014,racing,Atari,T,1.627906976744186,0.1386363636363636,1.975661290747157
ps2,2004,racing,Empire Interactive,T,4.133333333333334,0.265,3.7714832326538
ps3,2008,racing,Sony Computer Entertainment,T,9.333333333333334,0.0325892857142857,6.807886864432228
pc,2016,simulation,Paradox Interactive,E,1.4166666666666667,0.0063031161473087,0.5776626611503687
wii,2010,action,Lucasarts,T,2.333333333333333,0.355,3.0046142866199554
ps2,2006,misc,Redoctane,T,1.4,0.0502890173410404,0.5016464696817318
x,2007,strategy,Codemasters,T,2.555555555555556,1.5333333333333332,1.9623252508485136
x360,2012,shooter,Namco Bandai Games,M,1.03921568627451,0.0902777777777777,0.3535385612910489
ps2,2008,simulation,Konami Digital Entertainment,T,4.125,0.78,0.765968576587521
psv,2016,action,Tecmo Koei,M,18.25,0.89,2.4594147592098103
ps2,2006,role-playing,Square Enix,T,2.055555555555556,0.1654545454545454,2.121669129319457
gba,2002,fighting,Infogrames,T,5.857142857142857,0.6307692307692307,2.5242246142698037
ps2,2007,fighting,Konami Digital Entertainment,M,1.5,0.3952380952380953,1.8860519817283647
x360,2013,shooter,Microsoft Game Studios,M,1.1232876712328768,0.0165983606557377,0.9573866370635924
gba,2004,platform,Universal Interactive,E,5.538461538461538,0.5,2.392917503871804
gba,2004,action,Thq,E,2.2972972972972974,0.4578947368421052,1.4137725369022194
gc,2006,racing,Nintendo,E,2.1785714285714284,0.1114285714285714,1.9381858670756684
ps2,2006,racing,Ubisoft,E,3.0588235294117645,0.85,0.2294488699496587
ps2,2002,sports,Electronic Arts,E,5.866666666666666,0.1914285714285714,4.18248864871254
ps,2004,racing,Take-Two Interactive,E,5.666666666666667,0.8833333333333333,1.8431679617089096
ps2,2008,racing,Take-Two Interactive,E10+,4.473684210526316,0.1618181818181818,2.1949813170214814
x360,2010,racing,Electronic Arts,E,2.034482758620689,0.1733333333333333,0.6571837049443001
wii,2010,sports,Electronic Arts,E,1.837209302325581,0.425,2.653608265481971
psp,2007,shooter,Ubisoft,M,3.421052631578948,0.1421875,1.1194655897548382
x360,2010,racing,Electronic Arts,E10+,1.2054794520547945,0.0338164251207729,0.8933749577923223
wii,2011,adventure,Disney Interactive Studios,E10+,12.5,1.16,3.4498056128189467
ps,2003,sports,Electronic Arts,E,8.6,1.3333333333333333,1.1602858868937465
x360,2010,misc,Activision,T,1.2318840579710144,0.0473053892215568,4.388814902392867
ps3,2010,strategy,Ubisoft,T,2.303030303030303,0.1571428571428571,3.14556716488885
x,2002,sports,Midway Games,E,3.95,0.7909090909090909,2.475800445076517
ps2,2004,shooter,Activision,T,1.5510204081632653,0.11,1.9522205437881044
ps2,2001,action,Sony Computer Entertainment,M,3.526315789473684,0.4105263157894737,0.6802177665571757
x360,2008,simulation,Microsoft Game Studios,E,1.2923076923076924,0.0610687022900763,3.878103430609304
ps2,2003,role-playing,Atlus,T,4.2631578947368425,0.4052631578947368,0.8649981441874104
gc,2007,shooter,Eidos Interactive,E10+,12.75,1.04,2.4227282978238662
x360,2010,fighting,Pqube,T,2.65625,0.3346153846153846,2.343189386608223
x360,2008,racing,Electronic Arts,E10+,1.4807692307692308,0.0768292682926829,1.0890784629856012
ds,2010,role-playing,Sega,E,1.3454545454545457,0.0901234567901234,3.1639125723131905
gc,2007,fighting,Atari,T,4.363636363636363,0.6,0.6057039527080779
psp,2007,misc,Sony Computer Entertainment,T,4.545454545454546,1.3,1.1773443052164492
psv,2014,sports,Electronic Arts,E,1.7555555555555555,0.08875,3.5253587988041053
ps3,2015,action,Warner Bros. Interactive Entertainment,T,1.6521739130434785,0.0114754098360655,3.528257260672059
x360,2013,misc,Ubisoft,E10+,4.9375,0.2363636363636363,2.474735369878863
ds,2009,role-playing,Graffiti,E,2.4166666666666665,0.375,1.19588995123596
ps,2000,role-playing,Enix Corporation,T,10.125,0.231578947368421,0.647518512556612
gc,2004,platform,Activision,E,2.8,0.4466666666666666,2.54685833538594
pc,2013,action,Lucasarts,E10+,5.428571428571429,0.1704545454545454,2.879283994625944
x360,2011,shooter,Warner Bros. Interactive Entertainment,M,1.0163934426229508,0.2884615384615384,3.174266480634416
gc,2002,fighting,Nintendo,T,2.421052631578948,0.0158813263525305,8.25701365409693
wii,2008,action,Nintendo,T,1.3013698630136987,0.0054086538461538,8.519495047720254
ps,2000,platform,Gt Interactive,T,6.769230769230769,0.1318840579710145,0.214977523569593
ds,2008,adventure,Konami Digital Entertainment,E,5.0,2.075,0.6942309469463023
ds,2009,action,Activision,E10+,6.416666666666667,0.5357142857142857,1.0226532943691462
wii,2012,platform,Majesco Entertainment,E,1.8604651162790695,0.2485714285714285,2.94164946051767
ps,2003,platform,Sony Computer Entertainment,E,10.428571428571429,1.4166666666666667,2.109257510862654
wiiu,2014,sports,Nintendo,E10+,3.238095238095238,0.0660377358490566,2.815867384160536
ds,2009,action,Activision,E,10.0,0.9571428571428572,1.071451798085859
ps3,2014,action,Square Enix,T,2.108108108108108,0.1327868852459016,2.1595235927247227
gba,2002,action,Nintendo,E,2.090909090909091,0.0455,2.4753123066470946
ps2,2005,misc,Sony Computer Entertainment,T,2.4571428571428573,0.3384615384615385,2.3076062210829877
gc,2003,action,Activision,M,2.655172413793104,0.2517241379310345,1.812864809062504
pc,2009,shooter,Electronic Arts,T,2.0526315789473686,0.0357843137254901,1.128787605365167
pc,2004,action,Eidos Interactive,M,6.363636363636363,0.1279411764705882,1.4712010058400389
ps3,2010,action,Sega,M,1.7105263157894737,0.23125,0.0363526389425387
wii,2010,action,Thq,T,13.25,1.3199999999999998,3.1170145494832298
ps2,2006,role-playing,505 Games,E,2.6296296296296298,0.5916666666666667,0.8204497294563373
ps3,2011,sports,Sega,E10+,2.161290322580645,1.0571428571428572,1.1382296523291655
psp,2010,action,Ubisoft,T,4.625,0.431578947368421,0.7980665895960566
ds,2007,action,Electronic Arts,T,4.0588235294117645,0.3842105263157894,0.9444490469422278
x360,2011,racing,Codemasters,E,1.9534883720930232,0.1153846153846153,0.6665202765816814
ds,2009,puzzle,Majesco Entertainment,E,2.391304347826087,0.8714285714285713,0.2372030747920771
pc,2014,role-playing,Activision,M,1.0232558139534884,0.0004148086695011,3.835650776245642
ps2,2003,shooter,Acclaim Entertainment,M,3.05,0.2607142857142857,2.1209004625323526
x360,2009,action,Activision,E10+,2.4285714285714284,1.25,2.2460433839824425
ps2,2008,fighting,Ignition Entertainment,T,3.142857142857143,1.4666666666666668,0.958325590234802
pc,2007,strategy,Thq,E10+,2.3142857142857145,0.0406392694063926,2.8412809081366683
