ID,CONSOLE,YEAR,CATEGORY,PUBLISHER,RATING,CRITICS_POINTS,USER_POINTS,SalesInMillions
2969,gba,2005,racing,Zoo Digital Publishing,E,4.882352941176471,0.9888888888888888,2.8901279256642467
1187,ps4,2018,shooter,Take-Two Interactive,M,1.6521739130434785,0.00479375696767,0.7956647632624879
3289,ps2,2005,role-playing,Ghostlight,M,2.1578947368421053,0.2078947368421052,0.907941700579982
1540,ps4,2014,action,Take-Two Interactive,M,1.4696969696969695,0.002808798646362,11.85008008785968
1847,wiiu,2016,misc,Ubisoft,E10+,10.428571428571429,0.6272727272727273,2.9614085266497434
2,ps2,2003,role-playing,Atari,T,3.0434782608695654,0.4578947368421052,1.2848533004217513
583,gba,2005,puzzle,Nintendo,E,6.6,1.25,2.411918728045868
1143,gc,2005,action,Atari,T,2.739130434782609,0.1777777777777777,2.81613150785033
1350,gc,2008,action,Nintendo,T,2.023809523809524,0.0622377622377622,3.0463561450919827
912,ps2,2007,platform,Disney Interactive Studios,E10+,3.0,1.2714285714285716,1.745138288580959
629,x360,2008,action,Thq,M,1.4081632653061225,0.108955223880597,2.534755069297606
1888,xone,2016,sports,Microsoft Game Studios,E10+,1.1320754716981132,0.0354166666666666,0.4633730918980905
3478,ps2,2006,racing,Acclaim Entertainment,E,4.6923076923076925,1.3,2.816805542672846
2028,3ds,2014,role-playing,Marvelous Entertainment,T,4.25,0.2166666666666666,1.5839845157830386
342,x360,2008,shooter,Midway Games,T,1.2916666666666667,0.0938461538461538,2.8740122709510803
633,wii,2012,shooter,Sega,T,1.2549019607843137,0.1266666666666666,1.942620910820117
614,x360,2007,sports,Take-Two Interactive,E,3.857142857142857,0.43125,1.3313671482911729
4290,pc,2004,strategy,Activision,T,3.8260869565217392,0.0125173852573018,0.9448042925718564
2489,ps2,2004,racing,Electronic Arts,E,5.0,0.3863636363636363,2.915334028128551
163,ps2,2004,simulation,Metro 3D,T,4.6875,0.2933333333333333,1.711640798965976
3780,x360,2008,racing,Atari,E10+,1.1884057971014492,0.0919540229885057,1.9667623635700349
1053,x360,2013,shooter,Take-Two Interactive,M,0.6447368421052632,0.0096491228070175,0.2198391677827942
3040,x360,2012,action,Capcom,M,0.912087912087912,0.0142585551330798,2.927883514881295
4478,x,2003,shooter,Thq,T,3.684210526315789,1.0333333333333334,1.517569957778192
3195,ps2,2007,action,Electronic Arts,T,1.972972972972973,0.3666666666666667,1.5285021539424355
926,ps,2003,action,Activision,E,6.0,0.7666666666666667,2.4734837598906414
3249,gba,2004,shooter,Global Star,M,5.666666666666667,0.72,1.9287735177345635
2911,pc,2016,action,Konami Digital Entertainment,E,8.222222222222221,0.0182572614107883,2.684576272520179
3681,gba,2003,fighting,Ubisoft,T,4.941176470588236,0.74,0.8827652511543103
4435,3ds,2014,fighting,Thq,T,5.916666666666667,0.9125,3.1677275558907403
3577,ds,2008,action,Lucasarts,T,7.625,0.3055555555555556,1.303523369971756
3774,x,2004,action,Atari,T,1.4583333333333333,0.2,1.0673358429534878
2844,ps4,2017,misc,Sony Computer Entertainment,M,1.2291666666666667,0.0897435897435897,3.1195007643158674
3925,x360,2009,action,Thq,M,1.3461538461538465,0.15625,2.130798162974729
2963,ps2,2005,racing,Namco Bandai Games,T,1.8857142857142857,1.24,1.2637370191782755
4076,3ds,2011,action,Ubisoft,T,1.65625,0.2115384615384615,3.047637186196426
2523,x,2005,sports,Microsoft Game Studios,E,2.290322580645161,0.7454545454545454,0.6540540396536063
1515,ps3,2014,shooter,Activision,T,1.894736842105263,0.1188679245283018,3.4996506233429163
830,ps2,2003,misc,Midway Games,T,3.0416666666666665,1.3,1.7503520489842226
1510,ps2,2005,fighting,Atari,T,3.263157894736842,0.4142857142857142,0.6898320989489882
4162,x360,2010,misc,Electronic Arts,E,3.473684210526316,0.7111111111111111,1.4308215915529643
3900,ps4,2014,action,Warner Bros. Interactive Entertainment,E10+,2.290322580645161,0.0724489795918367,2.5818390665702564
699,pc,2010,adventure,Ubisoft,M,9.4,0.9166666666666666,0.5447956027350771
3820,x360,2015,shooter,Take-Two Interactive,M,1.1267605633802815,0.034090909090909,1.2372734144215252
4340,wii,2010,misc,Nintendo,E,1.619047619047619,0.1363636363636363,6.484719241265579
2802,ps2,2006,role-playing,Sega,T,3.7777777777777777,0.3695652173913043,0.1006144053561427
1604,wii,2009,misc,Activision,T,4.352941176470588,1.2833333333333334,0.4091944295231029
348,ps4,2017,action,Tecmo Koei,T,1.7575757575757576,0.3095238095238095,1.457656323406982
