iter	RMSE
0	2.174483668
1	2.12090415
2	2.052634309
3	2.002585897
4	1.966026049
5	1.934441919
6	1.901171593
7	1.867804535
8	1.827144418
9	1.806157051
10	1.779345922
11	1.758473885
12	1.738141784
13	1.70766081
14	1.679946492
15	1.655158099
16	1.6316265
17	1.614405919
18	1.592446312
19	1.574379469
20	1.556957502
21	1.54406405
22	1.531557945
23	1.519024712
24	1.501722327
25	1.488061155
26	1.475766693
27	1.470104563
28	1.458257797
29	1.44745458
30	1.438999663
31	1.431112959
32	1.424400877
33	1.413053955
34	1.407231429
35	1.396528757
36	1.389262949
37	1.378944452
38	1.369007644
39	1.360844805
40	1.353058209
41	1.344967155
42	1.336879817
43	1.330665393
44	1.325134026
45	1.319465507
46	1.31382133
47	1.308501757
48	1.302457479
49	1.296233795
50	1.289744226
51	1.285642786
52	1.280933235
53	1.277290563
54	1.273911513
55	1.269461544
56	1.266061248
57	1.26173859
58	1.25718551
59	1.252323389
60	1.24752607
61	1.242273702
62	1.23737357
63	1.23026001
64	1.226541634
65	1.223210934
66	1.2208504
67	1.217501036
68	1.21246489
69	1.209406015
70	1.20476411
71	1.200574826
72	1.197251488
73	1.193095213
74	1.189760253
75	1.185097122
76	1.182829331
77	1.17793741
78	1.172164119
79	1.168770515
80	1.165544184
81	1.161300137
82	1.157551945
83	1.154632439
84	1.152141462
85	1.148698705
86	1.144162165
87	1.141542727
88	1.136951862
89	1.13284049
90	1.131514477
91	1.12957686
92	1.126161591
93	1.12335944
94	1.121841146
95	1.118541773
96	1.116210435
97	1.11265342
98	1.111030994
99	1.108581417
