iter	Passed	Remaining
0	2	286
1	5	277
2	8	265
3	10	258
4	13	252
5	15	248
6	18	247
7	21	246
8	24	246
9	27	243
10	29	241
11	32	237
12	35	236
13	38	233
14	40	230
15	43	228
16	46	227
17	49	225
18	52	222
19	55	220
20	57	217
21	60	215
22	63	213
23	66	211
24	69	209
25	72	207
26	75	205
27	77	199
28	80	197
29	83	195
30	86	192
31	89	190
32	92	187
33	95	185
34	98	182
35	101	179
36	104	177
37	106	174
38	109	171
39	113	169
40	115	166
41	118	164
42	121	161
43	124	158
44	127	156
45	130	153
46	133	150
47	136	147
48	139	145
49	142	142
50	145	139
51	148	137
52	151	134
53	154	131
54	157	128
55	160	126
56	163	123
57	166	120
58	169	117
59	172	114
60	174	111
61	177	108
62	180	106
63	183	103
64	186	100
65	189	97
66	191	94
67	194	91
68	197	88
69	200	85
70	203	82
71	205	80
72	208	77
73	212	74
74	215	71
75	218	68
76	221	66
77	224	63
78	227	60
79	229	57
80	232	54
81	235	51
82	238	48
83	241	46
84	244	43
85	247	40
86	250	37
87	253	34
88	256	31
89	258	28
90	261	25
91	264	23
92	267	20
93	270	17
94	273	14
95	276	11
96	279	8
97	282	5
98	285	2
99	288	0
