iter	RMSE
0	2.101864805
1	2.083293249
2	2.061024487
3	2.042919946
4	2.020130091
5	1.998429472
6	1.983999139
7	1.965689345
8	1.9520585
9	1.934025505
10	1.920951314
11	1.90569788
12	1.885856826
13	1.871625943
14	1.85321954
15	1.842069407
16	1.829124034
17	1.814108769
18	1.803462898
19	1.794263195
20	1.781673197
21	1.76980178
22	1.760156938
23	1.752917438
24	1.743130579
25	1.729299407
26	1.725241201
27	1.715140582
28	1.706370394
29	1.697627171
30	1.690495896
31	1.682429272
32	1.674163299
33	1.665862419
34	1.655899989
35	1.650291095
36	1.644548091
37	1.637177841
38	1.631017872
39	1.625011442
40	1.61999933
41	1.615766092
42	1.609317695
43	1.603837268
44	1.598219383
45	1.592442242
46	1.583297206
47	1.578105635
48	1.571673501
49	1.565097153
50	1.560844452
51	1.555447043
52	1.550425237
53	1.545477795
54	1.542746807
55	1.538348721
56	1.533285152
57	1.528283888
58	1.522598617
59	1.518229008
60	1.514123908
61	1.510301667
62	1.507689851
63	1.503106014
64	1.500585116
65	1.497927734
66	1.494580336
67	1.490493614
68	1.486912293
69	1.48546821
70	1.48139847
71	1.475281795
72	1.471261017
73	1.468181235
74	1.466910756
75	1.464601621
76	1.461501933
77	1.45829304
78	1.455758602
79	1.451347806
80	1.4480652
81	1.445487336
82	1.441901233
83	1.437958036
84	1.43565317
85	1.433398047
86	1.430817036
87	1.429071738
88	1.425036209
89	1.42118874
90	1.417208371
91	1.41405508
92	1.412252746
93	1.408716334
94	1.405662354
95	1.403958483
96	1.402248123
97	1.399905666
98	1.397744453
99	1.39569829
100	1.395121594
101	1.392773633
102	1.390434571
103	1.38930814
104	1.387676565
105	1.385520813
106	1.383438756
107	1.381335629
108	1.379491332
109	1.377858518
110	1.374761814
111	1.372833497
112	1.371361492
113	1.369421308
114	1.367623154
115	1.365916169
116	1.364076652
117	1.362385346
118	1.359994937
119	1.358192054
120	1.355608384
121	1.354366953
122	1.352962104
123	1.351646884
124	1.349880445
125	1.348896838
126	1.346699019
127	1.34576183
128	1.344327308
129	1.342753545
130	1.340045918
131	1.338081867
132	1.336898988
133	1.334793515
134	1.333146787
135	1.331167719
136	1.329591792
137	1.327249675
138	1.32510465
139	1.323142545
140	1.322339151
141	1.321653754
142	1.320067341
143	1.318601212
144	1.317273848
145	1.315358896
146	1.314651529
147	1.312899947
148	1.311863885
149	1.311211433
150	1.310505099
151	1.309283119
152	1.307689387
153	1.306482706
154	1.304485558
155	1.303294297
156	1.300669898
157	1.299114471
158	1.297193613
159	1.296274828
160	1.295077157
161	1.294248164
162	1.292104379
163	1.290426619
164	1.288602663
165	1.286950898
166	1.28415556
167	1.28280246
168	1.281426538
169	1.28067115
170	1.279630656
171	1.277710219
172	1.276181602
173	1.275115394
174	1.274268507
175	1.27319153
176	1.271963318
177	1.270344337
178	1.269172877
179	1.268345435
180	1.267391535
181	1.266242773
182	1.265408976
183	1.264312978
184	1.263844131
185	1.263135832
186	1.262020486
187	1.260956069
188	1.260080748
189	1.258623054
190	1.257174518
191	1.255866313
192	1.254676148
193	1.253565724
194	1.253274357
195	1.251549083
196	1.249884974
197	1.248880867
198	1.247825854
199	1.24637646
200	1.244972465
201	1.243751206
202	1.242657646
203	1.241508225
204	1.24038076
205	1.23955683
206	1.238157751
207	1.237205003
208	1.235682887
209	1.234407858
210	1.233331926
211	1.232194405
212	1.230613408
213	1.229571104
214	1.228468952
215	1.227362136
216	1.226593629
217	1.225107839
218	1.223356672
219	1.222537084
220	1.221061186
221	1.219852564
222	1.218811588
223	1.217754864
224	1.217075903
225	1.215848958
226	1.214509307
227	1.213688633
228	1.212943173
229	1.212131358
230	1.211093022
231	1.209963243
232	1.209066648
233	1.20821195
234	1.20733591
235	1.206057363
236	1.205041312
237	1.203648087
238	1.202953923
239	1.202636573
240	1.201753695
241	1.201229481
242	1.200320295
243	1.199397155
244	1.199185435
245	1.198783803
246	1.197861085
247	1.197179992
248	1.19620147
249	1.195932254
250	1.195734135
251	1.195151527
252	1.194945107
253	1.194146808
254	1.193220318
255	1.19199903
256	1.190951447
257	1.190081845
258	1.188987803
259	1.187741844
260	1.186671027
261	1.186566074
262	1.185336361
263	1.18523895
264	1.184453172
265	1.184223622
266	1.183379356
267	1.182880506
268	1.182785217
269	1.182721982
270	1.181381686
271	1.181171921
272	1.179727306
273	1.178843222
274	1.17815127
275	1.177260777
276	1.176975588
277	1.176095137
278	1.175252751
279	1.174507739
280	1.173649485
281	1.172811177
282	1.171661964
283	1.170537003
284	1.169800896
285	1.169740546
286	1.168632635
287	1.168129472
288	1.168041197
289	1.167128102
290	1.167069077
291	1.166886077
292	1.165775617
293	1.165071483
294	1.164290711
295	1.163284315
296	1.163192954
297	1.163135226
298	1.16236727
299	1.161765733
300	1.161680566
301	1.161596305
302	1.161517881
303	1.160601068
304	1.15966468
305	1.159504538
306	1.158437953
307	1.158364023
308	1.157949136
309	1.157200674
310	1.156412185
311	1.155932615
312	1.154698194
313	1.154641295
314	1.153263919
315	1.153191949
316	1.152195867
317	1.15212741
318	1.151477435
319	1.150589426
320	1.149633583
321	1.149048755
322	1.148285441
323	1.14762126
324	1.147141004
325	1.146476049
326	1.145994135
327	1.145940804
328	1.145869359
329	1.145140788
330	1.144289348
331	1.143457053
332	1.142219877
333	1.141739465
334	1.14116796
335	1.140210729
336	1.139440504
337	1.138743771
338	1.138674033
339	1.137964148
340	1.137292532
341	1.136643585
342	1.135599141
343	1.135544202
344	1.13485006
345	1.133924357
346	1.13281301
347	1.132741838
348	1.132690379
349	1.131873916
350	1.130933896
351	1.130213244
352	1.130160122
353	1.129127666
354	1.128338119
355	1.127792922
356	1.127724747
357	1.127659024
358	1.127606873
359	1.127533201
360	1.12683824
361	1.126144981
362	1.125508108
363	1.124944582
364	1.124880548
365	1.124818502
366	1.123933782
367	1.122945369
368	1.122476543
369	1.121834467
370	1.120939971
371	1.120150064
372	1.119338003
373	1.118266663
374	1.117773559
375	1.117375705
376	1.11662321
377	1.115489237
378	1.114773945
379	1.114186768
380	1.114135495
381	1.113518333
382	1.112575188
383	1.112527115
384	1.112019464
385	1.111204262
386	1.110671482
387	1.109688403
388	1.10932662
389	1.108665223
390	1.107890531
391	1.107180876
392	1.107131329
393	1.106099665
394	1.104889612
395	1.104126365
396	1.104072766
397	1.103361331
398	1.103312846
399	1.10269948
400	1.102096069
401	1.100864861
402	1.100242498
403	1.100179445
404	1.099770041
405	1.09940927
406	1.098835374
407	1.098787469
408	1.097815372
409	1.097291344
410	1.096615307
411	1.096103019
412	1.095647207
413	1.094904221
414	1.094399743
415	1.093166695
416	1.092569236
417	1.091721741
418	1.091674182
419	1.090952361
420	1.090889815
421	1.089954777
422	1.089892085
423	1.089305396
424	1.08891176
425	1.088558568
426	1.087948729
427	1.087902458
428	1.087461846
429	1.087090421
430	1.086384162
431	1.085491463
432	1.084872404
433	1.084160645
434	1.08331549
435	1.0832557
436	1.082451432
437	1.081770568
438	1.081727022
439	1.081021941
440	1.080961565
441	1.079917907
442	1.078933396
443	1.078178651
444	1.077667343
445	1.077206095
446	1.077046127
447	1.07700018
448	1.076955319
449	1.076139683
450	1.07536
451	1.075305114
452	1.07526084
453	1.074851353
454	1.074011507
455	1.073953122
456	1.073242593
457	1.073188603
458	1.072580631
459	1.07205477
460	1.071637965
461	1.071594336
462	1.071172686
463	1.070415527
464	1.069989731
465	1.069609046
466	1.069165231
467	1.068326098
468	1.067753495
469	1.067369985
470	1.066806468
471	1.066394979
472	1.06580061
473	1.065212295
474	1.064243198
475	1.063609702
476	1.063106581
477	1.063062444
478	1.062567727
479	1.062147727
480	1.061500432
481	1.060930652
482	1.060873317
483	1.060414701
484	1.059693503
485	1.059223525
486	1.058407256
487	1.057727567
488	1.056927351
489	1.056285183
490	1.055601873
491	1.055206687
492	1.054271436
493	1.05343733
494	1.05295745
495	1.05291406
496	1.052271868
497	1.052211119
498	1.051449871
499	1.05093031
500	1.050502807
501	1.050447318
502	1.050404748
503	1.049995009
504	1.04995301
505	1.049541998
506	1.048948007
507	1.048445469
508	1.048025375
509	1.047369064
510	1.047326946
511	1.047274084
512	1.046698051
513	1.046611177
514	1.046568839
515	1.045963389
516	1.045702061
517	1.045661178
518	1.045036334
519	1.04429038
520	1.043700357
521	1.0432018
522	1.042827256
523	1.041991471
524	1.041692316
525	1.041651426
526	1.040849794
527	1.040797316
528	1.040224372
529	1.039818943
530	1.039348894
531	1.038798433
532	1.038380391
533	1.038138664
534	1.037550991
535	1.037510994
536	1.036872241
537	1.036228712
538	1.035738672
539	1.035165944
540	1.035125665
541	1.034141308
542	1.033513566
543	1.033165141
544	1.033125562
545	1.033078016
546	1.032730983
547	1.032004398
548	1.031535013
549	1.031495604
550	1.031157456
551	1.030708545
552	1.03046845
553	1.030429746
554	1.029807102
555	1.029149501
556	1.028608458
557	1.028570516
558	1.028523446
559	1.027825042
560	1.027483581
561	1.027154769
562	1.026532792
563	1.026042053
564	1.025372334
565	1.025334136
566	1.024955249
567	1.024463089
568	1.024155838
569	1.023602131
570	1.023006913
571	1.022397341
572	1.022358715
573	1.021713169
574	1.020943445
575	1.020801584
576	1.020198017
577	1.019243162
578	1.019205493
579	1.019155994
580	1.018778403
581	1.018740521
582	1.018204226
583	1.01734223
584	1.01730552
585	1.016661337
586	1.015862915
587	1.015575435
588	1.014813938
589	1.014776384
590	1.014189154
591	1.014143593
592	1.013347755
593	1.013302586
594	1.013265971
595	1.012594332
596	1.012557554
597	1.012025578
598	1.011677862
599	1.011641596
600	1.011038138
601	1.010434538
602	1.009737114
603	1.009702368
604	1.009490766
605	1.008769781
606	1.007670517
607	1.007636173
608	1.007106543
609	1.0070727
610	1.006997865
611	1.006946365
612	1.006617821
613	1.006152011
614	1.005793258
615	1.005759641
616	1.005721661
617	1.005079307
618	1.00481245
619	1.004380666
620	1.003505062
621	1.003010913
622	1.00254497
623	1.002289889
624	1.001787096
625	1.001751275
626	1.001709759
627	1.001034112
628	1.000673345
629	1.000155431
630	1.000122432
631	0.9997347771
632	0.9989860748
633	0.9984017776
634	0.9979641922
635	0.9975082931
636	0.9968173893
637	0.996782642
638	0.9964128091
639	0.9958458143
640	0.995334062
641	0.9947044796
642	0.9944347908
643	0.994402477
644	0.9940203546
645	0.9935528671
646	0.9929639852
647	0.9924892026
648	0.9924541311
649	0.9924197382
650	0.9919165307
651	0.9918330459
652	0.9917844365
653	0.9909387254
654	0.9906959346
655	0.9900900454
656	0.9897172939
657	0.9891107694
658	0.9886356718
659	0.9882874664
660	0.9875089666
661	0.9870660426
662	0.9867641497
663	0.9867298978
664	0.9861439302
665	0.9861008835
666	0.9854626371
667	0.9849268269
668	0.9844120991
669	0.9839330177
670	0.98374208
671	0.983708166
672	0.9832797502
673	0.9826606526
674	0.9826274774
675	0.9825861169
676	0.9819519188
677	0.9816169609
678	0.9815866391
679	0.9813905213
680	0.9809161274
681	0.9806027511
682	0.9804250447
683	0.9798692686
684	0.979468234
685	0.9794348717
686	0.978816468
687	0.9781830898
688	0.9781504197
689	0.9777279335
690	0.9770396509
691	0.9770076109
692	0.9763154527
693	0.9756328924
694	0.9752952955
695	0.9752654421
696	0.9746556562
697	0.9741671676
698	0.9741252634
699	0.9737432267
700	0.9731248061
701	0.9730925084
702	0.9722979469
703	0.9719071947
704	0.9718753624
705	0.9718400372
706	0.9717994125
707	0.9712966497
708	0.9708679601
709	0.9708365303
710	0.9707980847
711	0.9703124085
712	0.9702399909
713	0.9698501211
714	0.9695716661
715	0.969543345
716	0.969069365
717	0.9690409374
718	0.9686516611
719	0.9680912992
720	0.9677365112
721	0.9673617998
722	0.9673310988
723	0.9665577584
724	0.9658612437
725	0.9656195908
726	0.9649915677
727	0.9646095989
728	0.9642275713
729	0.9636624665
730	0.9631239875
731	0.9627461402
732	0.9626295686
733	0.9626019032
734	0.9623321847
735	0.9619559301
736	0.961157398
737	0.9611277051
738	0.961097453
739	0.9610701178
740	0.9605470115
741	0.9600793357
742	0.9596300249
743	0.959271033
744	0.9589078183
745	0.9588805186
746	0.9583858953
747	0.9583511594
748	0.9579155625
749	0.9574859012
750	0.9574545795
751	0.9574187352
752	0.9566426985
753	0.9561925161
754	0.9558494573
755	0.9558205009
756	0.9557913553
757	0.9551319361
758	0.9547018365
759	0.9546673935
760	0.9545702014
761	0.9539821621
762	0.953308658
763	0.9527654977
764	0.9521931846
765	0.9521633396
766	0.9516199007
767	0.951073461
768	0.9510454043
769	0.9506424247
770	0.9501177052
771	0.9498340423
772	0.9495043124
773	0.9489172028
774	0.9488904268
775	0.9483843646
776	0.9479788752
777	0.9473193625
778	0.9471525716
779	0.9467541009
780	0.9462884224
781	0.9459089257
782	0.9458814884
783	0.9453748515
784	0.9451262523
785	0.9445740974
786	0.9442326618
787	0.944202767
788	0.9441752228
789	0.9441499046
790	0.943831003
791	0.9430555726
792	0.9425518286
793	0.9419225426
794	0.9413648076
795	0.9411221556
796	0.9407677107
797	0.9407369951
798	0.9403932625
799	0.9403663658
800	0.9403419458
801	0.9403176843
802	0.9399608488
803	0.939229144
804	0.9390774207
805	0.9386146333
806	0.9379922486
807	0.9374181354
808	0.9373934249
809	0.9369579162
810	0.936892002
811	0.9365513521
812	0.9364099224
813	0.9362278144
814	0.9356481833
815	0.9351576275
816	0.9348238664
817	0.934796908
818	0.9342558993
819	0.9335684246
820	0.9333167324
821	0.932968177
822	0.9325163855
823	0.9317498258
824	0.9312633856
825	0.931237656
826	0.9307622674
827	0.9300825856
828	0.9295186365
829	0.9293924199
830	0.9290065184
831	0.9289814473
832	0.9285676156
833	0.9285428603
834	0.9280370703
835	0.92753031
836	0.9275027289
837	0.9274392234
838	0.9274119242
839	0.9273833523
840	0.9268824472
841	0.9268589744
842	0.926835926
843	0.9264099337
844	0.9261773894
845	0.9258970514
846	0.9254098508
847	0.9247882206
848	0.9247646449
849	0.924266531
850	0.9240787634
851	0.9238286741
852	0.9233533796
853	0.9231295791
854	0.9221970707
